token,loss
pelican</w>,-1.4186006410454866e-05
penguins</w>,-0.0001690530625637
penguin,-0.0003541142796166
duck,-0.0025248785968869
pelicans</w>,-0.0067326659336686
birmin,-0.0069452947936952
vultures</w>,-0.0079364767298102
phel,-0.0086249252781271
egret</w>,-0.0100364787504076
hummingbird</w>,-0.0105590214952826
bluejays</w>,-0.0130234137177467
collec,-0.017903134226799
magpie</w>,-0.019437426701188
hen</w>,-0.0227990392595529
fowl</w>,-0.0281933899968862
beak</w>,-0.034873504191637
parrot</w>,-0.0349389910697937
guin</w>,-0.0352684073150157
swans</w>,-0.0387537032365798
pheasant</w>,-0.0389523059129715
jumped</w>,-0.0412522554397583
emu,-0.0513930097222328
ŀ,-0.053692664951086
birds,-0.0576298646628856
atroc,-0.0596197620034217
tern,-0.0599736720323562
penguin</w>,-0.0628565102815628
byrd</w>,-0.0759086012840271
swan,-0.0774246528744697
jackson</w>,-0.0786498934030532
eter,-0.0788601264357566
terns</w>,-0.0814681723713874
orchar,-0.08305174857378
avian</w>,-0.0865034610033035
canary,-0.0865533053874969
bluebird</w>,-0.0896174982190132
>>,-0.0924548730254173
rooster,-0.095919631421566
cranes</w>,-0.0963403135538101
oury</w>,-0.0982045084238052
ducks</w>,-0.0986303016543388
heron</w>,-0.1012483388185501
swan</w>,-0.1039944067597389
argy,-0.1041319817304611
brant</w>,-0.1061262935400009
stie,-0.1061503514647483
jay</w>,-0.1066000238060951
ðŁĺį</w>,-0.1075068861246109
alek,-0.107750229537487
chir,-0.1087598726153373
Ò,-0.1126988381147384
swallows</w>,-0.1158585846424102
falk,-0.116217240691185
humming,-0.1176677644252777
leak,-0.1179275438189506
ente,-0.1237960755825042
robin,-0.1325708180665969
raven</w>,-0.1329930573701858
hihi</w>,-0.135032445192337
gulls</w>,-0.1360418796539306
predat,-0.1369194686412811
à²,-0.137172669172287
peep,-0.1386966556310653
pollo</w>,-0.1396061182022094
agle,-0.1406930536031723
quack</w>,-0.1432535201311111
hangin</w>,-0.1436492502689361
dill,-0.1463797390460968
peregrine</w>,-0.1506566852331161
galli,-0.1542059481143951
awful</w>,-0.1545604765415191
fill,-0.1591767519712448
phishing</w>,-0.1620991677045822
ures</w>,-0.1648551821708679
reb</w>,-0.1663272380828857
