token,loss
tuk</w>,-0.0274475999176502
alar,-0.0722604021430015
ey,-0.0742540434002876
internet,-0.0811054706573486
consultant</w>,-0.0849593132734298
torino</w>,-0.1073127761483192
commer,-0.1117555946111679
crude</w>,-0.1341980248689651
warrington</w>,-0.1418784260749817
heidi,-0.1502959877252578
mta</w>,-0.1522616297006607
camper,-0.1523073613643646
rtc</w>,-0.1548060029745102
constituency</w>,-0.1722258180379867
s,-0.1915857940912246
pete</w>,-0.2011578232049942
yaf,-0.2061421126127243
supplychain</w>,-0.2087057083845138
sprinter</w>,-0.2103954702615738
organize</w>,-0.213999718427658
Ø²,-0.2163052856922149
pembro,-0.2251696139574051
eci,-0.2341718226671219
munici,-0.2496118992567062
buss</w>,-0.2825389504432678
mobil</w>,-0.2832346558570862
tani</w>,-0.2861473560333252
miti,-0.2893859148025512
route</w>,-0.304170161485672
swat,-0.3127668797969818
add,-0.323680430650711
aay,-0.333292692899704
rubb,-0.3363035917282104
monc,-0.3506974875926971
ondon</w>,-0.3808532655239105
nont</w>,-0.3862490653991699
tram</w>,-0.4045145213603973
mobi,-0.4482660889625549
amphibious</w>,-0.4497067332267761
cassette</w>,-0.4662094116210937
ret</w>,-0.4664672613143921
concourse</w>,-0.476581335067749
sab,-0.4888049960136413
cng</w>,-0.5002281069755554
tinted</w>,-0.5055854916572571
bulletproof</w>,-0.5111606121063232
piracy</w>,-0.5175557136535645
Ľ,-0.5311226844787598
lobal</w>,-0.5323588848114014
transport,-0.5377141833305359
yer,-0.5546075105667114
lovelondon</w>,-0.558269739151001
perfor,-0.5724403262138367
london,-0.581350564956665
advan,-0.601432740688324
rv,-0.6099215745925903
sey</w>,-0.6436370611190796
radio</w>,-0.64597088098526
tala</w>,-0.652998149394989
concession</w>,-0.6586701273918152
cms</w>,-0.6649573445320129
ens</w>,-0.674935519695282
depri,-0.6751920580863953
employers</w>,-0.676059901714325
urg</w>,-0.6828745603561401
atravel</w>,-0.6834700107574463
enic</w>,-0.6880491971969604
haynes</w>,-0.6942510604858398
gossi,-0.6970617175102234
screenshots</w>,-0.7007474899291992
shasta</w>,-0.7056368589401245
enlar,-0.7118121981620789
spiritual</w>,-0.7153482437133789
hino</w>,-0.7163078188896179
fracking</w>,-0.724571168422699
lorry</w>,-0.7248432040214539
transporter</w>,-0.7344390153884888
thompson</w>,-0.7401525974273682
istic</w>,-0.7445367574691772
hicks</w>,-0.7460484504699707
soho</w>,-0.7534404993057251
takeaways</w>,-0.7598756551742554
bul</w>,-0.7747887372970581
crew,-0.7754023671150208
kib,-0.7942606210708618
combine</w>,-0.8020133972167969
yaan</w>,-0.8038464188575745
zil,-0.8052141070365906
ema</w>,-0.8074808716773987
defenses</w>,-0.8117923736572266
mechanism</w>,-0.8168940544128418
thei,-0.820937991142273
marketer</w>,-0.8216148018836975
buses</w>,-0.8218472003936768
meu</w>,-0.825166642665863
foodtruck</w>,-0.8259618878364563
employment</w>,-0.8281171321868896
jl,-0.8431789875030518
responders</w>,-0.8554782271385193
touri,-0.860216498374939
landrover</w>,-0.8757596015930176
treas,-0.877607524394989
ats</w>,-0.8824418187141418
vich</w>,-0.9126359224319458
suffra,-0.9181460738182068
datab,-0.9232006072998048
hk</w>,-0.9259601831436156
bvb</w>,-0.9261313676834106
sl,-0.9332242012023926
nv</w>,-0.934873104095459
puj,-0.9354740977287292
service</w>,-0.9393019676208496
ucci</w>,-0.9409480094909668
bus,-0.9446139335632324
num,-0.9488407373428344
abpoli</w>,-0.9546109437942504
rac,-0.9576137065887452
ikon,-0.9581023454666138
minn</w>,-0.961945414543152
lywood</w>,-0.9646570682525636
xton,-0.9649834036827089
menu</w>,-0.9664214849472046
deto,-0.9702215790748596
did,-0.9901633262634276
potent</w>,-0.9951943159103394
mahindra</w>,-1.0168960094451904
magaz,-1.0297720432281494
gbc</w>,-1.033966302871704
brunei</w>,-1.036143779754639
transm,-1.0379420518875122
corbin</w>,-1.0494332313537598
nj,-1.0512683391571045
underattack</w>,-1.0521063804626465
van,-1.0622889995574951
belong</w>,-1.0750367641448977
multic,-1.0775264501571655
van</w>,-1.0854191780090332
openaccess</w>,-1.087934970855713
streetcar</w>,-1.088294267654419
errors</w>,-1.1009914875030518
trucker</w>,-1.1055693626403809
multin,-1.1089380979537964
households</w>,-1.1182050704956057
fics</w>,-1.1188230514526367
guthrie</w>,-1.1347932815551758
uci</w>,-1.1403076648712158
joye,-1.1458420753479004
quests</w>,-1.1461148262023926
ukmfg</w>,-1.1483079195022583
mandir</w>,-1.148862600326538
naf,-1.160292625427246
navar,-1.171654462814331
dall</w>,-1.1737347841262815
olin,-1.1818608045578003
gara</w>,-1.1850141286849976
arrives</w>,-1.1863068342208862
caution</w>,-1.2051633596420288
shuttle</w>,-1.2142549753189087
homedepot</w>,-1.2161669731140137
information</w>,-1.2170294523239136
minic,-1.2246595621109009
almost</w>,-1.2375167608261108
aussi,-1.23855721950531
daf</w>,-1.2463176250457764
memo,-1.263042449951172
leith</w>,-1.27473247051239
hyster,-1.282180905342102
shakespe,-1.286795735359192
ãģ®,-1.3042902946472168
slions</w>,-1.304322361946106
plaques</w>,-1.308276653289795
caravan</w>,-1.311780571937561
muni</w>,-1.324236273765564
valuable</w>,-1.332205891609192
morrisons</w>,-1.337289333343506
mcco,-1.3431605100631714
brewery</w>,-1.3438568115234375
mps</w>,-1.351091980934143
thinks</w>,-1.3516539335250854
edwar,-1.3518593311309814
econom,-1.3530006408691406
truck</w>,-1.357146978378296
riverdale</w>,-1.3651494979858398
yom</w>,-1.3750516176223757
europe,-1.3792178630828855
middleeast</w>,-1.3849530220031738
oxford,-1.3871688842773438
awx</w>,-1.3934710025787354
volkswag,-1.393863081932068
petersen</w>,-1.4021798372268677
ems</w>,-1.4031896591186523
moving,-1.4119573831558228
iklan,-1.4132778644561768
call,-1.42644202709198
wrangler</w>,-1.42870831489563
eazy</w>,-1.4296716451644895
vintage</w>,-1.4305007457733154
break</w>,-1.4368728399276731
intram,-1.437482476234436
camper</w>,-1.440100073814392
dho,-1.4483559131622314
ato,-1.4529749155044556
git,-1.4533276557922363
âĢ¦,-1.456829071044922
waste,-1.4608805179595947
cab,-1.4641419649124146
upro,-1.469475269317627
brt</w>,-1.4742825031280518
eatery</w>,-1.4769715070724487
containing</w>,-1.4835684299468994
bradbury</w>,-1.4854758977890017
condu,-1.4863265752792358
sentences</w>,-1.5213470458984375
seats</w>,-1.5242409706115725
immunity</w>,-1.5511999130249023
moja,-1.5519187450408936
alert</w>,-1.5533844232559204
scs</w>,-1.554792404174805
mckinnon</w>,-1.554909348487854
authentic</w>,-1.555317997932434
tfl</w>,-1.5709657669067385
ÙĬ</w>,-1.579673171043396
bodega</w>,-1.5798367261886597
goin</w>,-1.581474542617798
gm,-1.5934834480285645
side,-1.5973482131958008
antique</w>,-1.598059892654419
