token,loss
pugs</w>,-0.0003962705668527
boxers</w>,-0.0010538287460803
pug</w>,-0.0042121782898902
pug,-0.0098993396386504
chihuahua</w>,-0.0110309114679694
pugchat</w>,-0.0236293729394674
beagle</w>,-0.0353021174669265
ry</w>,-0.035995215177536
paw,-0.0449791923165321
livestock</w>,-0.0449947789311409
chihuahu,-0.0457571446895599
dawg</w>,-0.0475004911422729
edon</w>,-0.0514538139104843
labrador</w>,-0.0562253408133983
beau</w>,-0.0575008131563663
begins</w>,-0.0597852803766727
piper</w>,-0.0600229725241661
brianna</w>,-0.0664725974202156
pups</w>,-0.0682526603341102
labs</w>,-0.0684385672211647
much,-0.0755203962326049
dogre,-0.0767826959490776
ðŁĴŀðŁĴŀ</w>,-0.0773109197616577
awkward,-0.0842431187629699
blind</w>,-0.0888715162873268
Â´</w>,-0.0897951647639274
collie</w>,-0.0946468487381935
feed</w>,-0.1072277799248695
ghoshal</w>,-0.1120377108454704
lucky,-0.1139848679304122
wolves</w>,-0.1169569119811058
lopes</w>,-0.1195029318332672
kangaroo</w>,-0.1207987517118454
dogg</w>,-0.1283749043941497
puppy,-0.132512167096138
rebe,-0.1326011717319488
shes</w>,-0.1335987001657486
lovel,-0.1389435976743698
camou,-0.1481295377016067
puppylove</w>,-0.1505697965621948
mastiff</w>,-0.1552870273590088
woof,-0.1566040068864822
dogday</w>,-0.1574918031692505
poodle</w>,-0.1577682197093963
patrice</w>,-0.1645151972770691
pitbull</w>,-0.1703323870897293
pets</w>,-0.1709504723548889
eck</w>,-0.1772640794515609
vinnie</w>,-0.1783091127872467
thusi,-0.1790032982826233
rowdy</w>,-0.1791712641716003
ohl</w>,-0.1858729720115661
curator</w>,-0.193154364824295
ðŁĺĺðŁĺĺðŁĺĺðŁĺĺ</w>,-0.1942659467458725
puppies</w>,-0.1977076977491378
sindia</w>,-0.1988684833049774
bol</w>,-0.1999645978212356
rape,-0.2006130069494247
ruff,-0.2012074589729309
gious</w>,-0.201370820403099
rade</w>,-0.2092323154211044
arturo</w>,-0.2096161544322967
cad</w>,-0.213938295841217
andri,-0.2166238278150558
doggie</w>,-0.2199164628982544
hersh,-0.2201176732778549
unexpectedly</w>,-0.220476359128952
pupp,-0.2286465317010879
deer,-0.2296972572803497
shaa</w>,-0.2318625599145889
petday</w>,-0.2356990724802017
michi,-0.239451378583908
tamed</w>,-0.2422436773777008
purch,-0.2447449266910553
?.</w>,-0.2467957586050033
porter,-0.2471042424440384
wilbur</w>,-0.2508825063705444
dor</w>,-0.2546644210815429
cocon,-0.2587529420852661
howl</w>,-0.2600101232528686
aud,-0.2603013813495636
edgar</w>,-0.2605984210968017
reproduction</w>,-0.261020690202713
bearing</w>,-0.2625424861907959
inr</w>,-0.2626183629035949
bul</w>,-0.2670244872570038
terriers</w>,-0.2680643796920776
icop,-0.2693638205528259
lambs</w>,-0.270605593919754
leip,-0.2721292078495025
barker</w>,-0.272532194852829
wolf,-0.2757019102573395
nati</w>,-0.2780305743217468
dogsoftwitter</w>,-0.2798610627651214
jacki,-0.282131165266037
freckles</w>,-0.2842639982700348
Ğ,-0.2869593799114227
mutt</w>,-0.2894094884395599
cassi,-0.291015625
rue</w>,-0.2924525737762451
aud</w>,-0.29482102394104
companions</w>,-0.2979282140731811
hindustan</w>,-0.3020996153354645
anasta,-0.3039803802967071
gurmee,-0.3046372532844543
boxer,-0.3049156665802002
oux</w>,-0.309571236371994
nationaldogday</w>,-0.3103853464126587
ator</w>,-0.3108729422092438
husky</w>,-0.3116721510887146
sportsman</w>,-0.3143619000911712
nash,-0.3143786191940307
chipp,-0.315842866897583
yat</w>,-0.3178957998752594
balu,-0.318487137556076
wags</w>,-0.3195957541465759
adora</w>,-0.3259309232234955
>>>>,-0.326815664768219
wolve,-0.3272526860237121
swild</w>,-0.3312481045722961
frey</w>,-0.3341569900512695
dougie</w>,-0.3374940454959869
mlin</w>,-0.3519148826599121
ferdinand</w>,-0.3523239493370056
âľĭ,-0.3537739515304565
âĨĵ</w>,-0.3582793474197387
geny</w>,-0.3623360991477966
sergei</w>,-0.363385409116745
shibu,-0.3642210364341736
zshq</w>,-0.3653421401977539
showed</w>,-0.3669953644275665
chewing</w>,-0.3682355284690857
farley</w>,-0.3683810234069824
petting</w>,-0.3684072196483612
greyhounds</w>,-0.3697400391101837
gretchen</w>,-0.370013028383255
humph,-0.3727516531944275
intimidation</w>,-0.3753365278244018
guire</w>,-0.3762112855911255
cur</w>,-0.3779415488243103
pet</w>,-0.3780358433723449
darby</w>,-0.3786458373069763
stallion</w>,-0.3788236677646637
pooch</w>,-0.3826886713504791
baya</w>,-0.3831760287284851
did</w>,-0.3831962943077087
series</w>,-0.3868488669395447
lostdog</w>,-0.388935923576355
jada</w>,-0.3896112740039825
adero</w>,-0.3912299275398254
interesting</w>,-0.3930574059486389
bark</w>,-0.3948080837726593
volcanoes</w>,-0.3977146446704864
wof,-0.4013827741146087
hati</w>,-0.4042139053344726
ount</w>,-0.4046756625175476
duke,-0.4091679155826568
dodger</w>,-0.4092112779617309
rocky</w>,-0.409991979598999
irresistible</w>,-0.4117199182510376
workinprogress</w>,-0.4117266833782196
scamp</w>,-0.4119489192962646
setter</w>,-0.4133035540580749
enow</w>,-0.4152994155883789
majestic</w>,-0.4187815487384796
woof</w>,-0.4268113672733307
kuri,-0.4290943443775177
lick</w>,-0.4292713403701782
chow</w>,-0.4298111200332641
yogi</w>,-0.4332428872585296
rous</w>,-0.433316707611084
sire</w>,-0.4380678832530975
concerned</w>,-0.4381884336471557
fam,-0.4409561157226562
molly</w>,-0.4413902163505554
huskies</w>,-0.445888876914978
:...</w>,-0.4529858827590942
ast</w>,-0.453592300415039
hardly</w>,-0.4542760848999023
bailey</w>,-0.4572107195854187
pim</w>,-0.4589767456054687
yotes</w>,-0.4653649628162384
Ë</w>,-0.4658410251140594
