token,loss
siamese</w>,-0.0005718315951526
burr</w>,-0.2367476522922516
arturo</w>,-0.2372227609157562
billi,-0.3393078148365021
mber</w>,-0.3439346551895141
ðŁĺ¡,-0.3528313934803009
more</w>,-0.3958350718021393
feline</w>,-0.3958379328250885
bengal,-0.4033029675483703
achi</w>,-0.4643288850784302
brador</w>,-0.4734151065349579
bobcat</w>,-0.4840611815452575
wildcat,-0.4843341708183288
decat,-0.4963011145591736
cat</w>,-0.4981091618537903
paw</w>,-0.5012035369873047
iced</w>,-0.502752423286438
tabby</w>,-0.5071777105331421
bengal</w>,-0.5162900686264038
kittens</w>,-0.5268948674201965
tiger,-0.5292989611625671
caturday</w>,-0.5323715209960938
transferred</w>,-0.5380249619483948
catastro,-0.5454450845718384
miaw</w>,-0.5569918751716614
catday</w>,-0.5602580904960632
catap,-0.5639609694480896
pp,-0.5814270973205566
ðŁĴį</w>,-0.5856145620346069
squish,-0.5978887677192688
meow,-0.5981723666191101
kot</w>,-0.5982446670532227
sue</w>,-0.6037801504135132
unas</w>,-0.6068057417869568
tigers</w>,-0.6159141659736633
whit</w>,-0.6225109100341797
ager,-0.6247681379318237
roar</w>,-0.6310593485832214
burmese</w>,-0.6320447325706482
kot,-0.6463627219200134
chats</w>,-0.651543915271759
litters</w>,-0.6572461128234863
tail,-0.6596505641937256
meow</w>,-0.6689679622650146
angry,-0.6838823556900024
kit</w>,-0.6913068294525146
fiercely</w>,-0.694415807723999
purr,-0.7008657455444336
kats</w>,-0.7142878770828247
kitten</w>,-0.7203524708747864
catalo,-0.7229017615318298
quand</w>,-0.7286869287490845
pusa</w>,-0.7402874827384949
erry,-0.7413367629051208
alcat,-0.7499842643737793
purr</w>,-0.753693699836731
mau,-0.7561757564544678
leo</w>,-0.7565152645111084
kitty,-0.7583504915237427
mow,-0.7607277631759644
chat</w>,-0.7734923958778381
cate</w>,-0.7791637778282166
kitty</w>,-0.7804293632507324
cing</w>,-0.78231281042099
nom,-0.7908417582511902
pur</w>,-0.7909361124038696
fierce</w>,-0.7941461801528931
chee</w>,-0.800603449344635
kitties</w>,-0.8057556748390198
hugo,-0.8067479133605957
yom,-0.828719973564148
cohe,-0.8332082033157349
snat,-0.8372011184692383
tsi</w>,-0.8402396440505981
swith,-0.8432387709617615
upset</w>,-0.8517535328865051
lynx</w>,-0.8518968820571899
sher,-0.8601803183555603
mau</w>,-0.8649162650108337
mese</w>,-0.8687049746513367
myster,-0.8724265098571777
asdfghj,-0.8734418153762817
smugg,-0.8773431777954102
lulu</w>,-0.8794547319412231
ket</w>,-0.8806393146514893
beh</w>,-0.8814009428024292
cathe,-0.9090075492858888
!!!!,-0.910307765007019
atic</w>,-0.9116086959838868
tiger</w>,-0.9124544262886048
shrop,-0.913704752922058
aksh,-0.914030373096466
warming</w>,-0.9237436056137084
cat,-0.9237579107284546
roaring</w>,-0.9255625009536744
adoptdontshop</w>,-0.9472837448120116
catsoftwitter</w>,-0.9518966674804688
fordfc</w>,-0.960761308670044
zz,-0.9610440731048584
persian</w>,-0.9614572525024414
mmi</w>,-0.9618105292320251
catal,-0.9636944532394408
whitt,-0.9707859754562378
rew</w>,-0.9766556024551392
kat,-0.9815994501113892
maru,-0.9821959733963012
kits</w>,-0.9888157248497008
ambi,-0.9914294481277466
catsofinstagram</w>,-0.9932442903518676
tsun,-0.9969162940979004
deter,-0.9979417324066162
exempli,-1.0013917684555054
sits</w>,-1.0069069862365725
pus</w>,-1.0135093927383425
gata</w>,-1.016676664352417
snug</w>,-1.0235671997070312
ðŁĵĨ</w>,-1.027033448219299
romo</w>,-1.0308375358581543
Ãł</w>,-1.033329725265503
otta</w>,-1.0382004976272583
tempered</w>,-1.0422523021697998
wildcat</w>,-1.0456247329711914
snow</w>,-1.052962303161621
limel,-1.0591918230056765
kat</w>,-1.0703623294830322
parap,-1.0755860805511477
coon</w>,-1.082770824432373
cats,-1.0997098684310913
cathedr,-1.1048201322555542
mol,-1.1145353317260742
unpaid</w>,-1.122044324874878
bobcats</w>,-1.1305104494094849
mew</w>,-1.1381582021713257
_*</w>,-1.140657901763916
chung</w>,-1.1482198238372805
catt,-1.1532138586044312
sed</w>,-1.1535075902938845
calico</w>,-1.156283259391785
ies</w>,-1.1581562757492063
has,-1.1644294261932373
bol,-1.1741796731948853
sayin</w>,-1.180094599723816
uhm</w>,-1.180732488632202
mimo,-1.1816802024841309
kyrgy,-1.1897653341293335
chat,-1.190176486968994
blamed</w>,-1.200509548187256
mine</w>,-1.2072420120239258
cats</w>,-1.2172105312347412
mistre,-1.226166605949402
caric,-1.2413653135299685
amin</w>,-1.2436840534210205
cougar,-1.244385004043579
cuer,-1.244795322418213
leopold</w>,-1.2509949207305908
rub,-1.2516534328460691
neko</w>,-1.2547028064727783
cide</w>,-1.2597020864486694
