token,loss
doodled</w>,-0.0628832951188087
pony</w>,-0.1224962323904037
safari</w>,-0.1692908406257629
neb,-0.2861217260360718
mcnamara</w>,-0.3175865709781647
stead</w>,-0.3219629228115082
rodeo</w>,-0.3604520857334137
ď</w>,-0.4479502737522125
ðŁĺª</w>,-0.5709678530693054
ram</w>,-0.5982536673545837
sicily</w>,-0.6196472644805908
sensible</w>,-0.6392468810081482
stag,-0.6940959095954895
limous,-0.8704142570495605
isp,-0.8960905075073242
cow,-0.9384392499923706
soar,-0.9656183123588562
swild</w>,-1.087632656097412
tigers</w>,-1.1028823852539062
hert,-1.1177877187728882
griff</w>,-1.1527748107910156
tiger</w>,-1.1610602140426636
exas</w>,-1.1778831481933594
tube</w>,-1.2079389095306396
jag</w>,-1.214779257774353
tiger,-1.26481294631958
rounds</w>,-1.2849786281585691
livestock</w>,-1.2973636388778689
daa</w>,-1.3362243175506592
safarilive</w>,-1.3538687229156494
debra</w>,-1.3664894104003906
cecil,-1.456860065460205
sardin,-1.574180245399475
macy</w>,-1.5877245664596558
earp</w>,-1.617478609085083
spur</w>,-1.6561251878738403
hersh,-1.6564370393753052
akistan</w>,-1.6981780529022217
deter,-1.7016737461090088
dano</w>,-1.7148535251617432
mitochondri,-1.722636342048645
coal</w>,-1.807636022567749
cow</w>,-1.8335223197937007
ðŁĳħ,-1.840116500854492
fierc,-1.8483282327651973
!!!!,-1.8649332523345947
hare,-1.8828895092010496
brand,-1.9189733266830444
stead,-1.921547770500183
wilde</w>,-1.9660844802856443
uh</w>,-1.986722111701965
alcat,-2.0009844303131104
vach,-2.003779411315918
could</w>,-2.068355321884156
wrec,-2.071042060852051
.#</w>,-2.074308395385742
otd</w>,-2.092536449432373
camels</w>,-2.117151498794556
peri,-2.1794629096984863
sapi,-2.200336217880249
yers</w>,-2.234905958175659
Ą,-2.244130373001098
dawson</w>,-2.2816264629364014
rowe</w>,-2.321264743804932
potholes</w>,-2.3258068561553955
?!</w>,-2.3335602283477783
meow</w>,-2.3399832248687744
ame</w>,-2.392051219940185
ontour</w>,-2.40346097946167
robb,-2.4287590980529785
mascul,-2.49194860458374
cowboy</w>,-2.5001778602600098
encry,-2.5036001205444336
renewable</w>,-2.534043788909912
gata</w>,-2.536738634109497
griff,-2.542083740234375
gier</w>,-2.548017263412476
merino</w>,-2.623847484588623
icz</w>,-2.638346910476685
ather,-2.6523358821868896
donkey</w>,-2.664536714553833
Ħ</w>,-2.700373888015747
joseph,-2.727034330368042
purr,-2.732162475585937
ouri,-2.762214422225952
featherweight</w>,-2.7679455280303955
lined</w>,-2.771501541137696
effe,-2.7765915393829346
hale,-2.7845616340637207
elos</w>,-2.8119287490844727
bmx</w>,-2.887602567672729
ðŁįİ</w>,-2.901987314224243
eyeing</w>,-2.933544158935547
seam,-2.943026304244995
elephants</w>,-2.9652886390686035
âĻ¥ï¸ı</w>,-2.966871500015259
beav,-2.973531723022461
ðŁĺĪ,-2.977258682250977
