token,loss
canary</w>,-0.0296373404562473
warbler</w>,-0.0492175817489624
canary,-0.0616347976028919
finch</w>,-0.1277846097946167
lati,-0.302907645702362
lark,-0.3714204430580139
reduc,-0.4333691000938415
blossom</w>,-0.4679659008979797
springwatch</w>,-0.7333278656005859
birding</w>,-0.8010967373847961
robin</w>,-0.8358665704727173
reposting</w>,-0.8682699203491211
ornithology</w>,-0.9206634163856506
bul</w>,-0.9378589987754822
peck</w>,-1.019835352897644
birdie</w>,-1.0735630989074707
pika</w>,-1.1569063663482666
soo,-1.2013968229293823
robin,-1.2376881837844849
petre,-1.2396600246429443
byrd</w>,-1.2595891952514648
sparrow</w>,-1.2784961462020874
confin,-1.3260940313339231
ated</w>,-1.3309953212738037
peep,-1.3670032024383545
koko</w>,-1.710466384887695
blackbird</w>,-1.7221804857254028
tit</w>,-1.725855588912964
agles,-1.7686491012573242
tit,-1.7883901596069336
natu,-1.8052059412002563
hewitt</w>,-1.9233454465866089
twit</w>,-1.9866358041763303
beak</w>,-1.9932804107666016
robins</w>,-2.0204973220825195
âĢİ</w>,-2.082536458969116
matin</w>,-2.08906888961792
arney</w>,-2.1808419227600098
gul,-2.190789222717285
parap,-2.238626003265381
ðŁĴĥ</w>,-2.2528886795043945
-$</w>,-2.2910802364349365
posit,-2.293323040008545
hawk</w>,-2.2950243949890137
plains</w>,-2.3169972896575928
grasp</w>,-2.368496894836426
maran,-2.3846242427825928
cannabis</w>,-2.3873813152313232
doha</w>,-2.388213872909546
swallows</w>,-2.3933465480804443
sax,-2.443730115890503
:/</w>,-2.464470148086548
uni</w>,-2.4658331871032715
tweeta,-2.468933820724488
doves</w>,-2.4722375869750977
midd,-2.4783482551574707
abud,-2.5054919719696045
falcon,-2.51607632637024
bever,-2.541538715362549
gaps</w>,-2.5483944416046143
shale</w>,-2.5489771366119385
akshi</w>,-2.560741424560547
bord</w>,-2.561434030532837
copper,-2.5675370693206787
uniforms</w>,-2.595109701156616
beek</w>,-2.630884885787964
sault</w>,-2.636631727218628
argy,-2.6375181674957275
wimble,-2.6548948287963867
bumble,-2.656888484954834
woodpecker</w>,-2.6607778072357178
daylight</w>,-2.6689646244049072
ay</w>,-2.6907312870025635
nite</w>,-2.70143461227417
orns</w>,-2.724149227142334
dec,-2.7463972568511963
eliza,-2.7512009143829346
sinn</w>,-2.7526278495788574
birdphotography</w>,-2.7598917484283447
emerson</w>,-2.767375469207764
chiff,-2.782477617263794
sarato,-2.80416226387024
ðŁİŃ</w>,-2.80601453781128
contrast</w>,-2.815793037414551
flax</w>,-2.8189849853515625
rspb</w>,-2.867168664932251
lyons</w>,-2.87781834602356
helicop,-2.890145301818848
magpie</w>,-2.9130921363830566
tore</w>,-2.918808937072754
eagle</w>,-2.9276232719421387
wren,-2.928258180618286
tail,-2.934199333190918
thrush</w>,-2.942620277404785
bird</w>,-2.9497225284576416
humming,-2.9664368629455566
incense</w>,-2.9664745330810547
wark</w>,-2.9672720432281494
brid,-2.972795248031616
recru,-2.972832441329956
blers</w>,-2.985351324081421
enthr,-2.994338035583496
