token,loss
godzilla</w>,-0.4103534519672394
ennes</w>,-0.4341010153293609
comfy</w>,-0.4711876511573791
ure</w>,-0.4728449583053589
ðŁ¤¤,-0.4739705920219421
cean</w>,-0.5016763210296631
trex</w>,-0.5322911739349365
sumner</w>,-0.5388463735580444
saurus</w>,-0.5705169439315796
lizards</w>,-0.6695017218589783
reptiles</w>,-0.683208167552948
epp</w>,-0.7073498964309692
chameleon</w>,-0.7074372172355652
varan,-0.7811132073402405
schnau,-0.781562328338623
gecko</w>,-0.7876040935516357
dodd</w>,-0.7893802523612976
hore</w>,-0.8119500279426575
deshi</w>,-0.8920183777809143
tral</w>,-0.9656543135643004
yoshi,-0.9730218052864076
anic</w>,-0.9874449968338012
wwf</w>,-1.0052921772003174
shel,-1.0496271848678589
ĮãĤĬãģŁãģĦ</w>,-1.0730856657028198
crocodile</w>,-1.0835447311401367
idyllic</w>,-1.0852794647216797
dinosaurs</w>,-1.153097152709961
leh</w>,-1.164135217666626
ðŁĻĮ</w>,-1.1849076747894287
snapper</w>,-1.2018606662750244
natur,-1.206380844116211
F</w>,-1.2206066846847534
destination,-1.241865873336792
spino,-1.2965728044509888
curly</w>,-1.3038649559020996
baltic</w>,-1.3063055276870728
roa,-1.307164192199707
ðŁĩµðŁĩŃ</w>,-1.3283627033233645
seagu,-1.3308212757110596
trol,-1.3392891883850098
guillau,-1.3546687364578247
paso</w>,-1.370754361152649
rosario</w>,-1.3731833696365356
agi</w>,-1.3835495710372925
gill,-1.3925964832305908
grass,-1.4219818115234375
testam,-1.4238005876541138
pont</w>,-1.4646234512329102
climber</w>,-1.472090721130371
ori</w>,-1.4750232696533203
ditch,-1.4813779592514038
scorpions</w>,-1.483823299407959
alach,-1.5148123502731323
bn</w>,-1.515881896018982
derbyshire</w>,-1.5300554037094116
stalk,-1.5316016674041748
wed,-1.542756199836731
exhausting</w>,-1.5468816757202148
shome</w>,-1.548416018486023
ef,-1.5499893426895142
daes,-1.5600411891937256
rubs</w>,-1.5998244285583496
orphe,-1.60799241065979
bora</w>,-1.6082298755645752
pixelart</w>,-1.611515998840332
sarawak</w>,-1.6254510879516602
pacific</w>,-1.6660250425338743
gator</w>,-1.6683493852615356
jurassic</w>,-1.6802256107330322
ðŁĴľðŁĴľðŁĴľ</w>,-1.7065904140472412
..#</w>,-1.7140296697616575
sivan</w>,-1.7189513444900513
caching</w>,-1.7228862047195437
algar,-1.7278344631195068
ito</w>,-1.7283236980438232
