token,loss
coltrane</w>,-6.365978333633393e-05
facelift</w>,-0.0004000868066214
ðŁı½,-0.0005686111398972
brow,-0.0009229865390807
lash,-0.0009863470913842
lix</w>,-0.0011566411703824
chandi,-0.0011655325070023
mandela</w>,-0.0011730515398085
poster,-0.0012806506128981
matologist</w>,-0.0016239947872236
masking</w>,-0.0016368307406082
earl,-0.0018216263270005
bernstein</w>,-0.0019584987312555
electro</w>,-0.0024372213520109
mask,-0.0024380579125136
crack,-0.0029411013238132
gerard,-0.0029550301842391
nose,-0.0031854528933763
films</w>,-0.0038377279415726
ðŁĺįðŁĺįðŁĺįðŁĺįðŁĺįðŁĺįðŁĺįðŁĺį,-0.0039901961572468
sati,-0.0043056183494627
twili,-0.0044873156584799
noh</w>,-0.0046073077246546
makeup,-0.0052645858377218
masked</w>,-0.0053515322506427
ronald</w>,-0.0056270430795848
ruben,-0.0063652489334344
barack,-0.0063765263184905
stiles</w>,-0.0065611801110208
mccann</w>,-0.0067024230957031
linus</w>,-0.006961980368942
slipknot</w>,-0.0070766871795058
pupils</w>,-0.0077411169186234
yearof,-0.0077587170526385
ugly</w>,-0.0078544113785028
realize</w>,-0.008620535954833
ethnic</w>,-0.0089557655155658
jarre,-0.009001413360238
hera</w>,-0.0090239671990275
ðŁĵ½</w>,-0.0091099785640835
brunomars</w>,-0.0095856385305523
ezekiel</w>,-0.0098322816193103
untitled</w>,-0.0099009647965431
gloss,-0.0100299762561917
thad,-0.0101713491603732
vindic,-0.0105964299291372
gail</w>,-0.0109706483781337
carvings</w>,-0.0111150462180376
thyroid</w>,-0.0112144378945231
kenneth,-0.0112488567829132
run,-0.0114309759810566
thom</w>,-0.0114654619246721
quaid</w>,-0.0115659134462475
shif,-0.0116138514131307
davos</w>,-0.0118043608963489
rami</w>,-0.0122307399287819
raj,-0.0125238448381423
"âģ©,</w>",-0.0131434686481952
skull</w>,-0.0137221422046422
zombi,-0.0137693984434008
schumer</w>,-0.0138846468180418
parsons</w>,-0.0152821037918329
lola</w>,-0.0154372956603765
caesar</w>,-0.0156916230916976
faceli,-0.0158018246293067
tyrone</w>,-0.0159805957227945
kenne,-0.0160638149827718
ċ,-0.0170203689485788
ished</w>,-0.0170276425778865
ugliest</w>,-0.0170938521623611
brows</w>,-0.0171786807477474
karan,-0.0173119083046913
facing</w>,-0.0177348796278238
hart,-0.0177498646080493
dain,-0.0179833583533763
zero,-0.0179963465780019
lester,-0.0180066619068384
kaj</w>,-0.0180143695324659
african,-0.0180150978267192
gel,-0.0180893223732709
monroe</w>,-0.0183993894606828
bce</w>,-0.018921947106719
negro</w>,-0.0192829482257366
gaunt,-0.020076734945178
atism</w>,-0.0201006960123777
chucky</w>,-0.0204651653766632
attle</w>,-0.0209726132452487
yap</w>,-0.0211182814091444
dougie</w>,-0.0215883608907461
fleek</w>,-0.0221782214939594
labyrin,-0.0229238104075193
reggie</w>,-0.0230922698974609
chin</w>,-0.0231016036123037
ï¿½</w>,-0.0232431273907423
jone,-0.0234037097543478
anos</w>,-0.0237301979213953
mour</w>,-0.0239373762160539
akshay</w>,-0.024079019203782
headshot</w>,-0.0242204368114471
frankenstein</w>,-0.0242462698370218
masquerade</w>,-0.0242796130478382
face,-0.0253581926226615
fitz</w>,-0.0254395678639411
ðŁħ,-0.0255205202847719
jeffree,-0.0259322971105575
marcel,-0.0260743461549282
drew,-0.0262627340853214
