token,loss
rs</w>,-0.0306079555302858
mcdonnell</w>,-0.0306809078902006
monza</w>,-0.0310876201838254
hadid</w>,-0.0337323397397995
cci</w>,-0.0400939881801605
rhe,-0.0478505156934261
ceram,-0.0527222044765949
wolff</w>,-0.0542065054178237
mye,-0.0570054724812507
riche,-0.060125321149826
rwc</w>,-0.0604307204484939
aba</w>,-0.0656846687197685
ws</w>,-0.0676443055272102
ya,-0.0706354081630706
lambo</w>,-0.0721201598644256
funer,-0.0736361220479011
unic,-0.0740703865885734
aston,-0.0760941356420517
âģ,-0.0766987726092338
hyper,-0.0779253169894218
mazda</w>,-0.077959269285202
versa</w>,-0.0786126255989074
:'(</w>,-0.0797051787376403
espan,-0.0809093713760376
carr</w>,-0.0815833434462547
afl,-0.0818921327590942
\,-0.0824428722262382
eg</w>,-0.0829102396965026
lou,-0.0838208198547363
rgb</w>,-0.0849874094128608
otive</w>,-0.0857330337166786
tcm</w>,-0.0863111689686775
fd,-0.0880236253142356
ferrari</w>,-0.0893760547041893
porsche,-0.0904371812939643
healey</w>,-0.0907942056655883
hn,-0.0908184200525283
ttt</w>,-0.0910028964281082
cee</w>,-0.0915875434875488
cocac,-0.0931731760501861
ared</w>,-0.0935545489192009
convertible</w>,-0.0962635278701782
db,-0.0963420197367668
nay,-0.0971020758152008
bien,-0.097564585506916
supervis,-0.0985446497797966
livery</w>,-0.0990937799215316
frs</w>,-0.0994909182190895
supercar</w>,-0.1002117246389389
Ĕ,-0.1007477343082428
gts</w>,-0.1026412993669509
dura,-0.104702852666378
jag,-0.108833372592926
emer,-0.1090257838368415
venge,-0.1098653301596641
comp,-0.113283097743988
nissan</w>,-0.113528586924076
anto,-0.1140956953167915
cfs</w>,-0.1144072711467742
chrysler</w>,-0.1145362555980682
reynolds</w>,-0.1159291937947273
infin,-0.1160670816898346
gulf,-0.1167269945144653
astonmartin</w>,-0.1172455251216888
wnt</w>,-0.1179190948605537
novo</w>,-0.1196026802062988
lewi,-0.1198830530047416
icar,-0.1201215609908104
seen</w>,-0.1201224997639656
kineni</w>,-0.1210148110985755
ëı,-0.1218525618314743
rb</w>,-0.1227406188845634
harga</w>,-0.127254769206047
dheim</w>,-0.1289153844118118
bentley</w>,-0.1291462182998657
civic,-0.1304023116827011
macar,-0.1306553035974502
č,-0.1318670511245727
accommod,-0.1320340931415558
rj</w>,-0.1326376497745514
spect</w>,-0.1328959763050079
fom,-0.1330030560493469
nissan,-0.1335572153329849
spec</w>,-0.1347268521785736
cbe</w>,-0.1349260956048965
th,-0.1349654495716095
enqui,-0.1354675143957138
asb</w>,-0.13579723238945
purdu,-0.1362491697072982
ported</w>,-0.1363818943500518
trape,-0.1372298300266266
spati,-0.1389395594596862
pesc,-0.1392025202512741
riel</w>,-0.1392049193382263
mcgra,-0.1392939835786819
ary,-0.1397968679666519
slammed</w>,-0.1400245428085327
borussia</w>,-0.14054836332798
akh,-0.1412957608699798
corvette</w>,-0.1415058523416519
dri,-0.143038660287857
leh,-0.1430429965257644
|@</w>,-0.146240159869194
rati,-0.1468296498060226
mpg</w>,-0.1500107795000076
ylor</w>,-0.1509283632040023
preferred</w>,-0.1523692160844802
revs</w>,-0.1530956923961639
newer</w>,-0.1534382253885269
non,-0.154341921210289
esco,-0.1560724079608917
ìĪ,-0.156192734837532
auditi,-0.1566403955221176
yy,-0.159695029258728
mcar,-0.1607486009597778
rizzo</w>,-0.1614194810390472
£ï¸ı</w>,-0.1629816144704818
shortest</w>,-0.1634199023246765
oto,-0.1634915620088577
pop,-0.1644372791051864
Ļ,-0.1644421219825744
porsche</w>,-0.1659559905529022
mberg</w>,-0.1662435382604599
redd</w>,-0.1663947403430938
zam</w>,-0.1669970154762268
°,-0.1673125624656677
enzo</w>,-0.1684512048959732
perspec,-0.1690031290054321
hyundai</w>,-0.1691299676895141
fbs</w>,-0.1693117469549179
alz,-0.1708553582429886
drian</w>,-0.1719374507665634
cruiser</w>,-0.1721238493919372
ry,-0.1721801459789276
headlights</w>,-0.1729461103677749
low,-0.1729962080717086
gtr</w>,-0.1732473075389862
Ń</w>,-0.1736131012439727
gt</w>,-0.1737325191497802
svp</w>,-0.1737657785415649
heim</w>,-0.1749813109636306
example</w>,-0.1753780096769333
nou</w>,-0.1757163107395172
widesp,-0.1757458001375198
trop</w>,-0.1758686602115631
wash,-0.176782414317131
dless</w>,-0.1770799309015274
iwant,-0.1777206361293792
cardam,-0.1785333305597305
quered</w>,-0.1789454817771911
kilometers</w>,-0.1802109479904174
?...</w>,-0.1830727308988571
edg,-0.1862659752368927
mechanics</w>,-0.1865541785955429
maserati</w>,-0.1871068477630615
porsch,-0.1875288039445877
cooper</w>,-0.1895630210638046
del,-0.1904385387897491
bln</w>,-0.1906385123729705
aton</w>,-0.1913272440433502
xa</w>,-0.1930334866046905
kom</w>,-0.1946739256381988
damn</w>,-0.1955722719430923
spar,-0.1956037878990173
bati,-0.1956750452518463
defi,-0.1962736099958419
nette</w>,-0.1974047869443893
towed</w>,-0.19821597635746
fiawec</w>,-0.1990350186824798
fre</w>,-0.2017835229635238
avoc,-0.2022242695093155
quali,-0.2031240910291671
diff,-0.2032413929700851
abh,-0.2037245035171508
rubi,-0.2038618922233581
lli</w>,-0.2041051387786865
chuk</w>,-0.204193890094757
sonata</w>,-0.2048003524541854
ðŁĺį</w>,-0.2048104405403137
shelby,-0.2055057734251022
åŃ,-0.206426665186882
dodge,-0.2066832929849624
evs</w>,-0.2067581117153167
popp,-0.2076871246099472
kus,-0.209028959274292
bmw</w>,-0.2093792110681533
autonom,-0.2104176133871078
lamborghini</w>,-0.211195483803749
æĺ,-0.21141017973423
ury,-0.2123643010854721
mony</w>,-0.2128126174211502
!?!</w>,-0.2148680239915847
mcen,-0.215911328792572
vins</w>,-0.2164509296417236
dac,-0.2167477458715438
brack,-0.216775581240654
etv,-0.218538224697113
rrp</w>,-0.2196703851222992
lexus</w>,-0.219904139637947
devel,-0.2201473861932754
ies</w>,-0.2202257513999939
tez</w>,-0.220480814576149
malik</w>,-0.2207172214984893
sebring</w>,-0.2209393978118896
à¸ļ</w>,-0.221040666103363
rek,-0.2213596701622009
serviced</w>,-0.2225944250822067
howar,-0.2233906984329223
kickass</w>,-0.223807081580162
cls</w>,-0.2260240614414215
mpg,-0.2272256910800933
sls</w>,-0.2280527651309967
loeb</w>,-0.2285152822732925
speeding</w>,-0.2286630123853683
vai</w>,-0.2292970120906829
bugatti</w>,-0.2294809967279434
