token,loss
cats</w>,-0.3466551303863525
catal,-0.5708528757095337
seam</w>,-0.5784720182418823
tober</w>,-0.6219906210899353
nya</w>,-0.6257026195526123
adventurous</w>,-0.628151535987854
mau,-0.6435599327087402
cina</w>,-0.6561071872711182
angry,-0.6792932748794556
kats</w>,-0.7095633149147034
kitty,-0.7232493162155151
enting</w>,-0.727060079574585
chats</w>,-0.7465496063232422
purr,-0.8328558802604675
rying</w>,-0.8531517386436462
selective</w>,-0.8850235939025879
caturday</w>,-0.8882741928100586
cet</w>,-0.8993508219718933
pus</w>,-0.9131293296813964
kittens</w>,-0.9188904762268066
maru,-0.9381779432296752
feline</w>,-0.9482463002204896
kits</w>,-0.9775809049606324
catt,-1.0041186809539795
harat</w>,-1.018593668937683
decat,-1.027033448219299
poten,-1.0288902521133425
purr</w>,-1.0586464405059814
chat,-1.066237211227417
stray</w>,-1.0690596103668213
billi,-1.07263445854187
mitz,-1.0771933794021606
oo,-1.1081212759017944
kot,-1.1177170276641846
chondri,-1.1188308000564575
bast,-1.126630425453186
burmese</w>,-1.176313042640686
cat,-1.184950590133667
oche</w>,-1.2441166639328003
lief</w>,-1.2442574501037598
iz</w>,-1.2485431432724
excur,-1.2536165714263916
aby</w>,-1.287458062171936
agne,-1.3053148984909058
tabby</w>,-1.3079041242599487
°</w>,-1.3341295719146729
mize</w>,-1.3382359743118286
seam,-1.3430743217468262
cats,-1.3623104095458984
wildcat,-1.3769912719726562
inous</w>,-1.3818777799606323
gato</w>,-1.386783003807068
"_,</w>",-1.3917464017868042
cation</w>,-1.3962655067443848
mau</w>,-1.396702527999878
afirst</w>,-1.4110475778579712
alcat,-1.4157458543777466
oliver,-1.4291044473648071
mae,-1.445610761642456
gata</w>,-1.4603842496871948
sary</w>,-1.4621115922927856
focusing</w>,-1.4622677564620972
cathedr,-1.4659827947616575
ena</w>,-1.469882607460022
bub</w>,-1.4808614253997805
perceived</w>,-1.482784628868103
mew</w>,-1.4862178564071655
lynx</w>,-1.493211269378662
sher,-1.502568602561951
yon</w>,-1.504776954650879
pusa</w>,-1.542337417602539
tora</w>,-1.545191526412964
catsofinstagram</w>,-1.554549217224121
pur,-1.5718770027160645
catap,-1.5814180374145508
hugo,-1.581745147705078
cett</w>,-1.581944704055786
memph,-1.5894083976745603
kitty</w>,-1.5916529893875122
mese</w>,-1.6065711975097656
kot</w>,-1.611005425453186
kitten</w>,-1.613885521888733
eyed</w>,-1.6181708574295044
tica</w>,-1.6246050596237185
dsley</w>,-1.631803035736084
eyeing</w>,-1.70678448677063
flattering</w>,-1.714077115058899
squirrels</w>,-1.7162857055664062
ssin</w>,-1.7175843715667725
cate</w>,-1.7215027809143066
reluct,-1.752577543258667
neko</w>,-1.7772241830825806
à¸±</w>,-1.779983639717102
>>>></w>,-1.7891343832015991
monty,-1.8213577270507808
hie</w>,-1.829883813858032
miaw</w>,-1.8760470151901243
cato</w>,-1.890726923942566
josÃ©</w>,-1.8918606042861936
cared</w>,-1.8972578048706048
ðŁĺĦ</w>,-1.897547960281372
gasp</w>,-1.911251425743103
wildcat</w>,-1.91259515285492
bobcat</w>,-1.9276498556137085
litters</w>,-1.9527877569198608
giz,-1.965964198112488
ðŁĺ¹ðŁĺ¹,-1.96828043460846
hugo</w>,-1.998763084411621
discu,-2.003149509429932
âŀĸâŀĸ,-2.009464740753174
toi,-2.026139259338379
capit,-2.055379867553711
etty</w>,-2.062337875366211
behe,-2.0631935596466064
cat</w>,-2.0675055980682373
wildly</w>,-2.0677037239074707
